Bjornheia skole - okonomirapport per 31.08.2026
Alle tall i NOK
Post;Budsjett;Palopt;Prognose;Avvik prognose
01 Rigg og drift;12400000;7150000;12600000;-200000
02 Grunnarbeider;18900000;18400000;18400000;500000
03 Betong;41200000;29800000;41000000;200000
04 Stal og tommer;22600000;11200000;22600000;0
05 Tak og tetting;9800000;2100000;9800000;0
06 Ventilasjon;16500000;9350000;16620000;-120000
07 Ror;13100000;6800000;13100000;0
08 Elektro;19400000;8900000;19400000;0
09 Innredning og himling;14300000;1200000;14300000;0
10 Utomhus;7200000;0;7200000;0
SUM;175400000;94900000;175020000;380000
